source_date,site,region,kd,kd_arithmetic,ocean_cells,l3_observed_fraction,l4_interpolated_fraction,confidence,caveat,product_stream,fetched_utc,age_days_at_fetch
2015-01-01,seawaywall,tweed,0.04961,0.05478,50,1.0,0.0,ok,land_adjacency,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,seawaybar,tweed,0.04798,0.053,55,1.0,0.0,ok,land_adjacency,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,ninemile,tweed,0.03886,0.0404,77,0.974,0.026,ok,none,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,fidos,tweed,0.04058,0.04212,68,0.971,0.029,ok,none,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,kingscliff,tweed,0.04039,0.04169,63,0.952,0.048,ok,land_adjacency,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,tweedbar,tweed,0.04207,0.04363,61,0.967,0.033,ok,land_adjacency,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,flinders,moreton,0.04037,0.0438,97,1.0,0.0,ok,none,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,smiths,moreton,0.03657,0.03805,98,1.0,0.0,ok,none,my,2026-08-15T10:39:34+00:00,4244
2015-01-01,capemor,moreton,0.04688,0.05568,96,1.0,0.0,ok,none,my,2026-08-15T10:39:34+00:00,4244
2015-01-02,seawaywall,tweed,0.04202,0.04298,50,0.3,0.7,low_confidence,land_adjacency,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,seawaybar,tweed,0.04127,0.04226,55,0.273,0.727,low_confidence,land_adjacency,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,ninemile,tweed,0.03675,0.03777,77,0.0,1.0,weak_prior,none,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,fidos,tweed,0.03816,0.03917,68,0.0,1.0,weak_prior,none,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,kingscliff,tweed,0.03797,0.03887,63,0.0,1.0,weak_prior,land_adjacency,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,tweedbar,tweed,0.03941,0.04043,61,0.0,1.0,weak_prior,land_adjacency,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,flinders,moreton,0.03953,0.04108,97,0.546,0.454,flagged,none,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,smiths,moreton,0.03655,0.03736,98,0.551,0.449,flagged,none,my,2026-08-15T10:39:34+00:00,4243
2015-01-02,capemor,moreton,0.0443,0.04805,96,0.417,0.583,low_confidence,none,my,2026-08-15T10:39:34+00:00,4243
2015-01-03,seawaywall,tweed,0.03938,0.03967,50,0.0,1.0,weak_prior,land_adjacency,my,2026-08-15T10:39:34+00:00,4242
2015-01-03,seawaybar,tweed,0.03892,0.03922,55,0.0,1.0,weak_prior,land_adjacency,my,2026-08-15T10:39:34+00:00,4242
2015-01-03,ninemile,tweed,0.03723,0.03805,77,0.0,1.0,weak_prior,none,my,2026-08-15T10:39:34+00:00,4242
