_id,Site,SiteNumber,Seconds,DateTime,Latitude,Longitude,Hsig,Hmax,Tp,Tz,SST,Direction,Current Speed,Current Direction
1,Caloundra,54,1786370400,2026-08-11T00:00:00,-26.84659,153.15622,0.870,1.440,6.670,6.452,19.25,39.40,-99.90,-99.90
2,Caloundra,54,1786372200,2026-08-11T00:30:00,-26.84658,153.15622,0.855,1.440,6.250,6.452,19.40,32.30,-99.90,-99.90
3,Caloundra,54,1786374000,2026-08-11T01:00:00,-26.84658,153.15617,0.870,1.600,6.250,6.349,19.25,32.30,-99.90,-99.90
4,Caloundra,54,1786375800,2026-08-11T01:30:00,-26.84659,153.15617,0.849,1.610,6.250,6.557,19.10,32.30,-99.90,-99.90
5,Caloundra,54,1786377600,2026-08-11T02:00:00,-26.84659,153.15611,0.864,1.480,6.250,6.667,19.10,35.20,-99.90,-99.90
6,Caloundra,54,1786379400,2026-08-11T02:30:00,-26.84659,153.15611,0.817,1.310,6.670,6.452,19.45,36.60,-99.90,-99.90
7,Caloundra,54,1786381200,2026-08-11T03:00:00,-26.84661,153.15609,0.796,1.200,5.880,6.154,19.65,32.30,-99.90,-99.90
8,Caloundra,54,1786383000,2026-08-11T03:30:00,-26.84658,153.15609,0.760,1.240,6.670,6.349,19.45,45.00,-99.90,-99.90
9,Caloundra,54,1786384800,2026-08-11T04:00:00,-26.84661,153.15604,0.726,1.230,6.250,6.349,19.45,42.20,-99.90,-99.90
10,Caloundra,54,1786386600,2026-08-11T04:30:00,-26.84678,153.15611,0.690,1.120,6.250,6.154,19.35,43.60,-99.90,-99.90
11,Caloundra,54,1786388400,2026-08-11T05:00:00,-26.84713,153.15598,0.696,1.110,6.250,6.250,19.35,53.40,-99.90,-99.90
12,Caloundra,54,1786390200,2026-08-11T05:30:00,-26.84759,153.15585,0.634,1.450,6.670,6.452,19.45,49.20,-99.90,-99.90
13,Caloundra,54,1786392000,2026-08-11T06:00:00,-26.84757,153.15583,0.598,0.960,9.090,6.452,19.65,88.60,-99.90,-99.90
14,Caloundra,54,1786393800,2026-08-11T06:30:00,-26.84758,153.15583,0.576,0.950,6.250,6.349,19.45,46.40,-99.90,-99.90
15,Caloundra,54,1786395600,2026-08-11T07:00:00,-26.84758,153.15583,0.601,1.040,10.000,6.154,19.30,84.40,-99.90,-99.90
16,Caloundra,54,1786397400,2026-08-11T07:30:00,-26.84758,153.15583,0.573,1.040,5.880,6.061,19.25,39.40,-99.90,-99.90
17,Caloundra,54,1786399200,2026-08-11T08:00:00,-26.84757,153.15587,0.538,1.120,6.250,6.061,19.15,43.60,-99.90,-99.90
18,Caloundra,54,1786401000,2026-08-11T08:30:00,-26.84749,153.15607,0.523,0.860,7.140,5.405,19.10,59.10,-99.90,-99.90
19,Caloundra,54,1786402800,2026-08-11T09:00:00,-26.84737,153.15624,0.524,0.980,9.090,4.878,19.10,77.30,-99.90,-99.90
20,Caloundra,54,1786404600,2026-08-11T09:30:00,-26.84682,153.15647,0.524,0.940,9.090,4.494,19.05,81.60,-99.90,-99.90
21,Caloundra,54,1786406400,2026-08-11T10:00:00,-26.84667,153.15630,0.489,0.950,6.670,4.444,19.10,43.60,-99.90,-99.90
22,Caloundra,54,1786408200,2026-08-11T10:30:00,-26.84665,153.15628,0.519,0.850,10.000,4.545,19.10,83.00,-99.90,-99.90
